brand,name,price
富士通 FUJITSU,FMVF77H3B [デスクトップパソコン FMV/FHシリーズ/23.8型Full HD/Core i7-1260P/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home and Business 2021/ブラック],"￥225,280"
デル DELL,SI60-DNHB [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i5-13400/UHD グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥147,940"
エイスース ASUS,G10CE-I7R2060SBY32 [ゲーミング デスクトップ/ROG Strix/Core i7-11700/GeForce RTX 2060 SUPER/メモリ 32GB/SSD 1TB/Windows 11 Home/グレー],"￥179,800"
HP,892V4PA-AAAH [デスクトップパソコン/HP 24-cr0000 AiO G1モデル/23.8型/Core i7-1355U/メモリ 16GB/SSD 1TB/Windows 11 Home/Office Home ＆ Business 2021/シェルホワイト],"￥199,800"
NEC エヌイーシー,PC-A2797GAB [デスクトップパソコン LAVIE/27.0型Full HD/AMD Ryzen7 7730U/メモリ 16GB/SSD 1TB/BDXL/TVチューナー/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック],"￥269,280"
デル DELL,SI70-DNHB [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i7-13700/UHD グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥180,970"
レノボ･ジャパン Lenovo,F0GH0189JP [一体型デスクトップパソコン IdeaCentre AIO 370i/23.8型/Core i7-13620H/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home＆Business 2021/ブラック],"￥178,660"
NEC エヌイーシー,PC-A2377GAB [デスクトップパソコン LAVIE/23.8型Full HD/AMD Ryzen7 7730U/メモリ 16GB/SSD 1TB/BDXL/TVチューナー/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック],"￥258,280"
ミニスフォーラム MINISFORUM,UN1265W-32/1T-W11Pro（12650H） [ミニパソコン/Core i7-12650H/メモリ 32GB/SSD 1TB/Windows 11 Pro],"￥94,610"
富士通 FUJITSU,FMVF60H3W [デスクトップパソコン FMV/FHシリーズ/23.8型Full HD/Ryzen 5 7530U/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ホワイト],"￥185,680"
ミニスフォーラム MINISFORUM,UM773XTX-32/512-W11Pro（7735HS） [ミニPC/Ryzen 7 7735HS/メモリ 32GB/SSD 512GB/Windows 11 Pro/ブラック],"￥88,660"
富士通 FUJITSU,FMVF60H3WC [デスクトップパソコン FMV/FHシリーズ/23.8型Full HD/Ryzen 5 7530U/メモリ 16GB/SSD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ホワイト/ヨドバシカメラ限定モデル],"￥224,800"
デル DELL,AI557-DNLWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥144,800"
ミニスフォーラム MINISFORUM,UN1245W-16/512-W11Pro（12450H） [ミニパソコン/Core i5-12450H/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥76,970"
デル DELL,AI567T-DNHBWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥179,800"
HP,892V6PA-AABD [デスクトップパソコン/HP Desktop M01-F2000 G1モデル/Core i5-12400/メモリ 8GB/SSD 256GB/Windows 11 Home/Office Home ＆ Business 2021/ジェットブラック],"￥119,800"
HP,892V3PA-AAAF [デスクトップパソコン/HP 24-cr0000 AiO G1モデル/23.8型/Core i5-1335U/メモリ 16GB/SSD 1TB/Windows 11 Home/Office Home ＆ Business 2021/シェルホワイト],"￥174,800"
富士通 FUJITSU,FMVF90H2B [デスクトップパソコン FMV/FHシリーズ/27型WQHD/Core i7-1260P/メモリ 16GB /SSD 512GB ＋ HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥274,780"
デル DELL,AI577T-DNHBWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥194,800"
エイスース ASUS,G10CE-I5R2060SBY [ゲーミングデスクトップパソコン/ROG Strix G10CE/Core i5-11400F/GeForce RTX 2060 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/グレー],"￥129,800"
